	Glucose_Insulin	Leptin_pg_ml	Adiponectin
F2_290	0.472943722943723	245462	11.274
F2_291	0.0989448192354264	84420.88	7.099
F2_292	0.239633558341369	105889.76	5.795
F2_293	0.0465723429341418	100398.68	5.495
F2_294	0.058272519333406	130846.3	6.868
F2_295	0.78762886597938	75166.22	17.328
F2_296	0.581799591002045	68410.52	8.71
F2_297	0.452466907340554	44714.22	27.404
F2_298	1.01428571428571	74253.66	14.237
F2_299	0.403127715030408	114169.02	7.592
F2_300	0.212185618136734	200970.8	14.366
F2_301	0.367158671586716	125887.52	27.99
F2_302	0.145361739902352	162679.62	8.404
F2_303	0.298872180451128	383322.2	12.048
F2_304	NA	NA	NA
F2_305	0.459780621572212	124436.08	10.319
F2_306	0.136994056043023	270467.6	14.718
F2_307	1.15914489311164	101448.8	22.469
F2_308	0.18370607028754	285963	17.142
F2_309	0.507917174177832	159643.64	14.343
F2_310	0.386321626617375	194313.18	24.737
F2_311	0.305970149253731	108510.66	16.383
F2_312	0.486486486486487	226996.2	12.425
F2_313	0.130681818181818	199609.68	9.63
F2_314	0.076036866359447	86420.94	8.001
F2_315	0.0703571813963527	122113.22	9.287
F2_316	0.0517352185089974	62457.86	3.113
F2_259	0.246792130025663	52053.52	1.852
F2_260	0.380794701986755	61221.66	4.803
F2_261	0.42870036101083	89290.54	7.056
F2_262	0.232366630862871	178225.18	7.681
F2_263	NA	NA	NA
F2_264	0.296272073250491	137452.5	2.705
F2_265	0.0456883773650711	79101.92	2.541
F2_266	0.043056743655546	113769.74	1.885
F2_267	0.08	77288.6	7.013
F2_268	0.0310204081632653	72941.86	12.595
F2_269	0.268334771354616	155588.32	10.054
F2_270	0.257200606366852	223565.8	13.319
F2_271	0.0784961459808086	134703.24	30.82
F2_272	0.190176817288802	92320.54	10.364
F2_273	0.0551911009697661	145655.18	14.064
F2_274	0.0438836199967851	100817.24	5.095
F2_275	0.0469806219017576	114446.02	5.013
F2_276	0.144935202327427	76213.66	6.706
F2_277	0.523917995444191	68390.14	12.998
F2_278	0.109605185621685	109518.16	10.423
F2_279	0.240273396424816	29163.56	6.147
F2_280	0.0850672328379335	61331.2	5.666
F2_281	0.234459741343346	60631.36	7.497
F2_282	0.0461305226682068	219146.4	5.993
F2_283	0.202789699570815	74333.98	8.103
F2_284	0.0244869527942989	183042.18	8.44
F2_285	0.232292124945007	58219.54	NA
F2_286	0.0768542008655425	86234.3	5.978
F2_287	NA	NA	NA
F2_231	0.0539095566941412	48414.96	2.219
F2_232	0.0703703703703704	74982.22	2.672
F2_233	0.047771880014813	118817.56	2.494
F2_234	0.0545012165450122	119135.34	5.564
F2_235	0.193517635843661	64015.66	5.045
F2_236	0.0848639851197396	64819.4	2.733
F2_237	0.0444215938303342	98144.3	1.07
F2_238	0.0954148876925933	81968.48	3.212
F2_239	0.156786524133463	140524.12	3.814
F2_240	0.140845070422535	116393.36	3.686
F2_241	0.741258741258741	78226.18	1.913
F2_242	0.475258918296893	60695.08	5.264
F2_243	0.408372093023256	114589.3	1.604
F2_244	0.6440329218107	58257.08	6.44
F2_245	0.198301329394387	101521.2	6.81
F2_246	0.235531628532974	178556.08	5.065
F2_247	0.785365853658537	100521.46	5.493
F2_248	1.08530805687204	138369.52	11.313
F2_249	0.0554565468078415	69416.42	1.593
F2_250	0.136558078315235	54889.66	1.55
F2_251	0.260597637248089	79146.38	4.233
F2_252	0.109304932735426	136032.8	3.551
F2_253	0.084968496849685	141321.52	2.812
F2_254	0.0586856960272659	107469.18	4.733
F2_255	0.0872355185570586	111905.96	1.392
F2_256	0.471376370280146	76717.42	1.704
F2_257	0.573033707865169	9945.14	2.747
F2_258	0.616341030195382	34488.46	3.883
F2_40	0.031232725262576	72140	3.784
F2_41	0.0227280379810768	83160	7.319
F2_42	0.357038123167155	99220	14.531
F2_43	0.307462686567164	50500	9.735
F2_44	0.254237288135593	50300	15.358
F2_45	0.229500687127806	1160	7.939
F2_46	0.70959595959596	8540	12.404
F2_47	0.644549763033175	37420	22.776
F2_48	0.6120826709062	13880	14.31
F2_49	0.744444444444444	3420	7.111
F2_50	1.04366197183099	19560	7.858
F2_51	0.623931623931624	78360	14.014
F2_52	0.235884101040119	37040	10.14
F2_53	0.524653312788906	52980	8.12
F2_54	0.137697516930023	162820	9.115
F2_55	0.0266338088242263	56840	4.521
F2_56	0.0405935981899248	55920	2.958
F2_57	0.0350194552529183	59260	4.05
F2_58	0.35	29140	6.514
F2_59	0.0185528132260345	47220	4.054
F2_84	0.0263057857522999	61280	0.803
F2_85	0.0480114352980745	NA	NA
F2_86	0.135938135938136	35500	3.765
F2_87	0.345953002610966	16140	2.914
F2_88	0.140252454417952	87360	5.302
F2_89	NA	17720	8.644
F2_91	NA	51460	1.237
F2_92	0.0474675489946551	32560	4.449
F2_93	0.195121951219512	NA	NA
F2_94	0.057579185520362	59800	NA
F2_95	0.412911084043849	23500	7.087
F1_96	0.580118694362018	36860	7.268
F1_97	0.451895043731778	48220	11.005
F1_98	1.43205574912892	NA	NA
F1_99	0.605263157894737	33560	8.113
F1_100	0.410344827586207	79180	12.201
F1_101	NA	NA	NA
F1_102	NA	NA	NA
F1_103	0.740143369175627	131420	17.084
F2_104	0.160955347871236	70360	7.307
F2_105	0.965827338129496	23640	7.557
F2_107	0.491228070175439	59040	9.962
F2_108	0.65183752417795	85320	17.756
F2_109	0.30398322851153	85400	8.795
F2_110	1.05072463768116	54560	15.256
F2_111	0.354430379746835	44512.9	9.229
F2_112	0.591803278688525	6317.96	8.564
F2_113	0.13641404805915	85185.28	7.127
F2_114	0.226838854576081	42173.54	7.179
F2_115	0.1859410430839	85167.3	5.668
F2_116	0.257664709719504	98649.6	8.45
F2_117	0.873931623931624	79249.46	15.794
F2_118	0.524203069657615	140137.56	9.126
F2_119	0.696397941680961	54318.48	9.438
F2_120	0.128671775223499	64560.68	6.619
F2_121	0.188659432971649	136762.22	9.364
F2_122	0.120249406175772	70998.48	5.297
F2_123	0.329048843187661	93467.48	7.019
F2_124	0.462962962962963	127313.14	9.82
F2_125	0.478507704785077	104954.62	8.893
F2_126	NA	NA	NA
F2_127	1.08971553610503	111464.32	11.32
F2_128	1.13694267515924	69600.92	NA
B6_129	NA	NA	NA
B6_130	NA	NA	NA
B6_131	0.90990990990991	90460.16	17.184
B6_132	NA	NA	NA
B6_133	NA	NA	NA
B6_134	NA	NA	NA
B6_135	NA	NA	NA
B6_136	NA	NA	NA
C3H_137	NA	NA	NA
C3H_138	NA	NA	NA
C3H_139	NA	NA	NA
C3H_140	NA	NA	NA
F2_141	0.524444444444444	57056.54	11.901
F2_142	0.445054945054945	9874.4	13.683
F2_143	0.09228470016813	264299.2	12.369
F2_144	0.93398533007335	23376.76	16.333
F2_145	0.681898066783831	121757.76	14.544
F2_225	0.738709677419355	80283.54	17.734
F2_226	0.685138539042821	23200.04	3.479
F2_227	0.519206939281289	38309.1	4.064
F2_228	0.205934930282445	206529.2	7.306
F2_229	0.106053268765133	128495.32	2.743
F2_230	0.14519427402863	75809.5	2.872
F2_175	0.103468208092486	132790.84	5.204
F2_176	0.0695130086724483	109383.44	6.324
F2_177	0.152994257588187	60136.48	3.539
F2_178	0.0707160669754186	63083.62	3.668
F2_179	0.0568627450980392	67388.16	4.39
F2_180	0.319165378670788	121768.04	10.074
F2_346	0.0559340833465378	114185.38	8.349
F2_347	0.152167414050822	136925.44	6.185
F2_348	0.15958815958816	48514.3	8.217
F2_349	0.193499238191976	100306.26	14.122
F2_350	0.197153024911032	86119.52	7.258
F2_351	0.146599264705882	109984.98	NA
F2_352	0.0686002084056964	86981.98	8.924
F2_353	0.04614904895541	119242.6	NA
F2_354	0.0210149253731343	163143.12	10.264
F2_355	0.431845597104946	55794.9	12.134
F2_356	0.570951585976628	87964.28	20.894
F2_357	0.207242339832869	169716.36	NA
F2_358	NA	NA	NA
F2_359	NA	111533.32	9.469
C3H_360	0.308176100628931	33529.46	10.327
C3H_361	0.100033233632436	35257.64	5.943
C3H_362	0.312095032397408	11375.9	8.533
C3H_363	0.370786516853933	9193.5	6.325
F2_203	0.68561872909699	26021.62	8.778
C3H_204	0.338350391330524	78500.74	4.002
C3H_205	0.0597421653914684	44125.58	3.856
C3H_206	0.123355617856373	58037.8	3.623
F2_207	0.0360707157114343	108322.28	2.927
F2_208	0.0826584752862329	140285.06	5.631
F2_209	0.231943031536114	106657.66	6.615
F2_210	0.147554129911788	13607.3	4.516
F2_211	0.237834132967786	27777.38	11.085
F2_212	0.718464351005484	61563.78	20.195
F2_213	0.643932683790965	41969.9	9.13
F2_1	NA	NA	NA
F2_2	NA	NA	NA
F2_3	0.420550847457627	15148.76	14.339
F2_4	0.0634408602150538	21409.58	4.894
F2_5	NA	NA	NA
F2_6	NA	NA	NA
F2_7	0.0357386308306554	27676.56	8.664
F2_8	NA	NA	NA
F2_9	0.0953776775648253	NA	NA
F2_10	0.0253289621412853	NA	NA
F2_11	NA	NA	NA
F2_12	0.0432475457681082	12263.32	4.023
F2_13	NA	NA	NA
F2_14	0.670886075949367	6188.74	15.439
F2_15	0.167468430547204	18400.26	11.124
F2_16	0.139944194033054	16088.92	6.663
F2_17	0.11165206101915	21059.52	10.312
F2_18	0.177819372952737	11320.3	6.602
F2_19	0.896713615023474	8438.7	16.842
F2_20	0.15691672401927	41801.54	13.498
F2_21	0.701298701298701	7976.48	18.802
F2_22	0.0718911061186732	21099.4	10.424
F2_23	0.58804347826087	24133.54	14.511
F2_24	0.245382585751979	52360	13.813
F2_25	1.80681818181818	114960	11.453
F2_26	0.0909090909090909	126880	14.118
F2_27	0.0140072056298192	81680	5.806
F2_28	0.139676113360324	66240	8.49
F2_29	0.115623383341956	51840	8.224
F2_30	0.0445205479452055	47520	6.387
F2_31	0.0559687842945982	99620	9.116
F2_32	0.433158584534731	82500	10.402
F2_33	0.0390486332978346	92560	7.969
F2_34	0.0143775884709923	145560	5.131
F2_35	0.0650108351391899	172480	5.455
F2_36	0.449648711943794	62600	15.652
F2_60	0.0291592309505371	108120	4.156
F2_61	0.483009708737864	15380	5.48
F2_62	0.0900684298132051	56740	4.4
F2_63	0.262903225806452	73080	7.065
F2_64	1.21666666666667	47620	8.479
F2_65	0.414222222222222	88200	8.992
F2_66	0.422933730454207	84800	10.305
F2_67	0.591269841269841	122200	6.17
F2_68	0.518111964873765	24720	9.374
F2_69	0.521428571428571	46340	6.85
F2_70	1.01428571428571	6560	8.827
F2_71	NA	NA	NA
F2_72	0.612687813021703	37800	9.239
F2_73	0.0199333310885888	79840	3.295
F2_74	0.0546137339055794	72760	3.566
F2_75	0.130230572160547	51360	2.813
F2_76	0.0334163281352378	75600	3.49
F2_77	0.269282814614344	75400	4.71
F2_78	0.373927958833619	20900	5.767
F2_79	0.264116575591985	33620	4.676
F2_80	0.121642482247607	66480	4.82
